Patent,Cit_Year,Citation
6009562,1996,5581819
6009562,1997,5606784
6009562,1997,5621923
6009562,1997,5675843
6009562,1997,5680656
6009562,1998,5724681
6009563,1975,3916312
6009563,1978,4077007
6009563,1978,4130803
6009563,1982,4321433
6009563,1982,4357711
6009563,1984,4471174
6009563,1985,4533984
6009563,1986,4607395
6009563,1987,4638410
6009563,1989,4817212
6009563,1989,4833726
6009563,1992,5142700
6009563,1993,5207500
6009563,1994,5365615
6009563,1995,5448780
6009563,1995,5477566
6009563,1997,5615410
6009563,1997,5678205
6009564,1981,4271538
6009564,1984,4443893
6009564,1984,4447914
6009564,1986,4571748
6009564,1987,4682007
6009564,1988,4736466
6009564,1988,4737918
6009564,1989,4867550
6009564,1991,5056156
6009564,1992,5131101
6009564,1992,5138494
6009564,1993,5220689
6009564,1994,5287562
6009564,1994,5347323
6009564,1995,5390369
6009564,1995,5410763
6009564,1995,5428411
6009564,1997,5648832
6009564,1997,5689323
6009564,1998,5802622
6009564,1998,5815848
6009565,1981,4302847
6009565,1985,4561123
6009565,1989,4807301
6009565,1991,4987613
6009565,1991,5052052
6009565,1992,5105473
6009565,1994,5365610
6009565,1995,5383236
6009565,1995,5383920
6009565,1995,5433355
6009565,1995,5437618
6009565,1995,5461730
6009565,1996,5497511
6009565,1996,5500952
6009565,1996,5551082
6009565,1997,5592689
6009566,1987,4638510
6009566,1990,4909459
6009566,1990,4923147
6009566,1993,5267708
6009566,1993,5272770
6009566,1998,5715541
6009567,1982,4331174
6009567,1990,4937892
6009567,1994,5367716
6009567,1995,5449117
6009567,1996,5513394
6009569,1978,4129907
6009569,1990,4951324
6009569,1992,5086523
6009569,1994,5341519
6009569,1994,5375267
6009569,1995,5384919
6009569,1995,5459889
6009569,1997,5636410
6009569,1997,5653319
6009570,1975,3878572
6009570,1975,3922735
6009570,1976,3943583
6009570,1976,3958283
6009570,1977,4039363
6009570,1978,4094024
6009570,1984,4425676
6009570,1984,4472848
6009570,1987,4638514
6009570,1987,4694520
6009570,1988,4791686
6009570,1989,4821348
6009570,1989,4828709
6009570,1989,4833457
6009570,1990,4920587
6009570,1990,4955090
6009570,1990,4977629
6009570,1991,4995124
6009570,1991,5033130
6009570,1991,5058222
6009570,1992,5077845
6009570,1992,5090067
6009570,1993,5189745
6009570,1994,5342583
6009570,1994,5350369
6009570,1996,5504948
6009570,1996,5581825
6009570,1997,5647090
6009571,1989,4823412
6009572,1991,4996728
6009572,1995,5383238
6009573,1977,4035299
6009573,1982,4346484
6009573,1982,4351077
6009573,1987,4642833
6009573,1988,4742593
6009573,1990,4973403
6009573,1991,5014382
6009573,1996,5499406
6009573,1996,5536397
6009573,1996,5570481
6009573,1997,5665248
6009573,1998,5734999
6009574,1978,4077424
6009574,1986,4592379
6009574,1986,4625763
6009574,1987,4655252
6009574,1988,4751919
6009574,1989,4817656
6009574,1990,4908016
6009574,1991,4989641
6009574,1991,5003646
6009574,1992,5158076
6009574,1996,5548854
6009575,1989,4879774
6009576,1990,4897885
6009576,1990,4979250
6009576,1997,5692257
6009577,1979,4139920
6009577,1987,4689844
6009577,1988,4738488
6009577,1991,5027457
6009577,1992,5103516
6009577,1993,5271114
6009577,1994,5363524
6009577,1994,5375278
6009577,1996,5522105
6009577,1996,5535467
6009577,1996,5567015
6009577,1996,5584086
6009577,1997,5630651
6009577,1997,5644807
6009577,1997,5644809
6009578,1987,4660238
6009578,1992,5079790
6009578,1993,5189747
6009578,1994,5352023
6009578,1994,5369829
6009578,1995,5378045
6009578,1995,5402545
6009578,1995,5426801
6009578,1995,5456519
6009578,1995,5459896
6009578,1996,5522106
6009578,1996,5568660
6009578,1997,5636395
6009578,1997,5639145
6009578,1998,5737788
6009579,1977,4015299
6009579,1977,4040133
6009579,1984,4488323
6009579,1987,4646375
6009579,1990,4899407
6009579,1990,4916766
6009579,1990,4962554
6009579,1990,4979251
6009579,1995,5428852
6009579,1995,5441789
6009579,1998,5732424
6009579,1999,5860174
6009580,1989,4873737
6009580,1992,5170364
6009580,1994,5283735
6009580,1996,5560374
6009580,1998,5815864
6009581,1980,4200948
6009581,1981,4281433
6009581,1985,4553279
6009581,1991,4984324
6009581,1991,5020181
6009581,1992,5095573
6009581,1993,5272782
6009581,1995,5440777
6009581,1998,5720063
6009581,1999,5870786
6009582,1977,4037276
6009582,1978,4078272
6009582,1978,4122569
6009582,1979,4157616
6009582,1980,4187607
6009582,1980,4238862
6009582,1981,4261103
6009582,1984,4442559
6009582,1984,4461080
6009582,1985,4512051
6009582,1985,4528751
6009582,1985,4539749
6009582,1986,4602397
6009582,1986,4606123
6009582,1986,4614001
6009582,1987,4648145
6009582,1987,4658456
6009582,1987,4660241
6009582,1987,4669140
6009582,1987,4672745
6009582,1988,4720030
6009582,1988,4722140
6009582,1988,4741059
6009582,1988,4744272
6009582,1988,4776094
6009582,1988,4783867
6009582,1988,4787109
6009582,1989,4794692
6009582,1989,4805250
6009582,1989,4805303
6009582,1989,4805818
6009582,1989,4819289
6009582,1989,4854045
6009582,1989,4856132
6009582,1989,4888869
6009582,1990,4891881
6009582,1990,4918775
6009582,1990,4942637
6009582,1990,4953248
6009582,1990,4960016
6009582,1990,4961239
6009582,1991,4995128
6009582,1991,5029354
6009582,1991,5029355
6009582,1991,5033140
6009582,1991,5062173
6009582,1992,5119520
6009582,1992,5125157
6009582,1992,5136744
6009582,1992,5142721
6009582,1992,5150488
6009582,1993,5205006
6009582,1993,5207014
6009582,1993,5212844
6009582,1993,5218892
6009582,1993,5220701
6009582,1993,5245721
6009582,1993,5251353
6009582,1993,5267366
6009582,1994,5280659
6009582,1994,5283920
6009582,1994,5327602
6009582,1995,5400451
6009582,1995,5402575
6009582,1995,5416940
6009582,1995,5432968
6009582,1995,5442529
6009582,1997,5615484
6009582,1997,5697114
6009582,1998,5737841
6009582,1998,5765247
6009583,1975,3858258
6009583,1976,3947905
6009583,1980,4208749
6009583,1987,4669140
6009583,1988,4744272
6009583,1990,4898161
6009583,1991,5007313
6009583,1992,5101563
6009583,1993,5212859
6009583,1995,5458029
6009583,1996,5515587
6009584,1976,3958690
6009584,1977,4037716
6009584,1980,4202445
6009584,1981,4300610
6009584,1982,4331194
6009584,1984,4457425
6009584,1985,4535987
6009584,1988,4734953
6009584,1990,4934528
6009584,1990,4946030
6009584,1990,4974842
6009584,1992,5080223
6009584,1994,5328026
6009584,1994,5333343
6009584,1995,5467871
6009584,1997,5617605
6009585,1977,4012194
6009585,1984,4441340
6009585,1990,4912793
6009585,1990,4969926
6009585,1992,5097556
6009585,1993,5222267
6009585,1994,5309587
6009585,1996,5582650
6009585,1998,5732362
6009585,1998,5787537
6009585,1999,5937675
6009586,1979,4151695
6009586,1980,4200946
6009586,1984,4458620
6009586,1987,4649588
6009586,1990,4912795
6009586,1990,4945595
6009586,1990,4965903
6009586,1992,5152632
6009586,1995,5414885
6009586,1996,5499888
6009586,1996,5570486
6009586,1998,5724691
6009587,1987,4685857
6009587,1988,4761847
6009587,1989,4864672
6009587,1990,4913615
6009587,1991,5062174
6009587,1992,5156432
6009587,1993,5214818
6009587,1993,5257894
6009587,1994,5287579
6009587,1994,5306112
6009587,1994,5325558
6009587,1995,5440773
6009588,1986,4570281
6009588,1987,4686732
6009588,1990,4914775
6009588,1990,4956889
6009590,1991,5027512
6009590,1997,5615441
6009590,1999,5884513
6009591,1985,4561143
6009591,1993,5218735
6009591,1995,5392489
6009592,1991,5068942
6009592,1996,5564156
6009593,1976,3947911
6009593,1976,3987512
6009593,1985,4490873
6009593,1988,4771498
6009593,1989,4809397
6009593,1990,4893375
6009593,1992,5088149
6009594,1993,5212848
6009594,1994,5301387
6009594,1996,5555599
6009594,1998,5819366
6009595,1978,4118826
6009595,1984,4458377
6009595,1989,4797072
6009595,1992,5090088
6009595,1992,5119619
6009595,1993,5195208
6009595,1993,5272858
6009595,1994,5294063
6009595,1998,5722110
6009595,1998,5735018
6009596,1975,3909197
6009596,1975,3914592
6009596,1976,3939527
6009596,1976,3942217
6009596,1976,3977797
6009596,1977,4021144
6009596,1978,4080104
6009596,1978,4087706
6009596,1978,4087881
6009596,1978,4114229
6009596,1978,4123818
6009596,1979,4138761
6009596,1979,4153968
6009596,1979,4171208
6009596,1979,4179768
6009596,1980,4185354
6009596,1980,4194262
6009596,1980,4207649
6009596,1980,4216563
6009596,1980,4218805
6009596,1980,4226000
6009596,1981,4244079
6009596,1981,4267617
6009596,1981,4287636
6009596,1982,4314385
6009596,1982,4318202
6009596,1982,4321219
6009596,1982,4329756
6009596,1982,4348783
6009596,1982,4353145
6009596,1983,4397057
6009596,1984,4458377
6009596,1987,4654926
6009596,1987,4667364
6009596,1987,4675935
6009596,1988,4723337
6009596,1988,4741069
6009596,1988,4776058
6009596,1988,4788738
6009596,1989,4800612
6009596,1989,4800613
6009596,1989,4801376
6009596,1989,4809396
6009596,1989,4827562
6009596,1989,4841595
6009596,1989,4845793
6009596,1989,4847943
6009596,1989,4864680
6009596,1990,4934017
6009596,1990,4949424
6009596,1990,4956891
6009596,1990,4974282
6009596,1990,4976850
6009596,1990,4977638
6009596,1991,5012549
6009596,1991,5048148
6009596,1992,5086537
6009596,1992,5099543
6009596,1992,5120922
6009596,1992,5125126
6009596,1992,5134748
6009596,1992,5174730
6009596,1993,5182834
6009596,1993,5184370
6009596,1993,5189755
6009596,1993,5210902
6009596,1993,5244003
6009596,1993,5263225
6009596,1993,5267370
6009596,1994,5287587
6009596,1994,5287590
6009596,1994,5289611
6009596,1994,5330699
6009596,1994,5334000
6009596,1994,5349722
6009596,1994,5373606
6009596,1995,5388301
6009596,1995,5404614
6009596,1995,5406673
6009596,1995,5430910
6009596,1995,5443362
6009596,1995,5455983
6009596,1995,5455984
6009596,1995,5465455
6009596,1995,5469598
6009596,1996,5526547
6009596,1996,5535500
6009596,1996,5555597
6009596,1998,5715568
6009597,1976,3986742
6009597,1983,4419786
6009597,1986,4625417
6009597,1995,5446944
6009597,1995,5448797
6009597,1995,5448798
6009597,1998,5802671
6009597,1999,5895089
6009598,1996,5547053
6009598,1996,5581847
6009598,1997,5615757
6009598,1997,5647095
6009598,1998,5713441
6009598,1998,5781964
6009598,1998,5813504
6009599,1976,3973289
6009599,1983,4381877
6009600,1980,4236270
6009600,1985,4493494
6009600,1985,4548248
6009600,1986,4613156
6009600,1987,4641857
6009600,1987,4683784
6009600,1989,4850079
6009600,1989,4882956
6009600,1989,4885818
6009600,1990,4934024
6009600,1992,5149160
6009600,1996,5535484
6009600,1996,5546832
6009600,1996,5588343
6009600,1997,5606772
6009600,1997,5622352
6009600,1997,5647080
6009600,1997,5680676
6009600,1997,5692265
6009600,1998,5704259
6009601,1984,4480361
6009601,1985,4505007
6009601,1991,5042116
6009601,1993,5253394
6009601,1995,5451082
6009601,1996,5515581
6009602,1983,4422220
6009602,1992,5152036
6009603,1988,4736451
6009603,1993,5211481
6009603,1993,5248201
6009603,1994,5293672
6009603,1998,5774955
6009604,1995,5380238
6009605,1976,3936552
6009605,1976,3952121
6009605,1987,4657795
6009605,1988,4790052
6009605,1993,5203059
6009605,1993,5217770
6009605,1994,5323523
6009605,1996,5513423
6009605,1996,5546880
6009606,1977,4041584
6009606,1983,4408377
6009606,1985,4547934
6009606,1989,4807337
6009607,1978,4110895
6009607,1979,4160182
6009607,1986,4586236
6009607,1990,4979285
6009607,1991,5075150
6009607,1992,5142178
6009607,1993,5265320
6009607,1994,5338996
6009607,1994,5349740
6009607,1995,5406243
6009607,1998,5757108
6009608,1988,4776079
6009608,1989,4881434
6009609,1975,3871786
6009609,1977,4037429
6009609,1978,4124318
6009609,1978,4128022
6009609,1981,4259045
6009609,1981,4304501
6009609,1984,4437782
6009609,1985,4514108
6009609,1986,4598677
6009609,1990,4913681
6009609,1992,5098343
6009609,1992,5105517
6009609,1993,5186573
6009609,1996,5582489
6009609,1997,5665001
6009609,1997,5688067
6009610,1975,3889046
6009610,1978,4126498
6009610,1980,4234218
6009610,1981,4293178
6009610,1984,4431861
6009610,1984,4466846
6009610,1990,4896904
6009610,1990,4924034
6009611,1978,4127927
6009611,1979,4161332
6009611,1980,4192533
6009611,1982,4317585
6009611,1984,4438953
6009611,1984,4444421
6009611,1986,4614120
6009611,1987,4700576
6009611,1987,4703954
6009611,1987,4712815
6009611,1988,4762344
6009611,1991,5015132
6009611,1995,5454605
6009611,1998,5794985
6009612,1982,4364406
6009612,1983,4369836
6009612,1983,4394794
6009612,1996,5517744
6009612,1997,5661993
6009613,1986,4614019
6009613,1988,4728137
6009613,1991,5038464
6009613,1991,5044144
6009613,1992,5088784
6009613,1992,5105535
6009613,1992,5117688
6009613,1992,5119549
6009613,1992,5125254
6009613,1992,5125630
6009613,1992,5159747
6009613,1992,5174019
6009613,1993,5179855
6009613,1998,5809640
6009613,1998,5819399
6009614,1977,4043172
6009614,1983,4379397
6009614,1984,4468224
6009614,1986,4576142
6009614,1987,4644936
6009614,1987,4681092
6009614,1987,4697573
6009614,1990,4901707
6009614,1990,4907336
6009614,1992,5132066
6009614,1992,5133732
6009614,1993,5183085
6009614,1993,5189786
6009614,1995,5437083
6009614,1996,5546646
6009614,1997,5626604
6009614,1997,5630830
6009614,1997,5653691
6009614,1997,5695515
6009614,1998,5738674
6009614,1998,5746764
6009614,1998,5783227
6009614,1998,5785715
6009614,1998,5795289
6009614,1998,5810838
6009614,1998,5836952
6009614,1999,5860966
6009614,1999,5893852
6009615,1976,3952272
6009615,1985,4533890
6009615,1987,4635016
6009616,1985,4557685
6009616,1988,4768283
6009616,1993,5235737
6009616,1995,5437093
6009616,1996,5494433
6009616,1996,5507635
6009616,1996,5507636
6009616,1996,5518393
6009616,1996,5569475
6009616,1997,5591465
6009616,1997,5614233
6009616,1997,5658604
6009616,1998,5704113
6009616,1998,5795599
6009616,1998,5820899
6009616,1998,5851565
6009617,1989,4851618
6009618,1975,3866847
6009619,1992,5112230
6009619,1993,5181317
6009619,1993,5220487
6009619,1995,5434365
6009619,1995,5451720
6009619,1997,5665650
6009620,1977,4017968
6009620,1982,4319708
6009620,1987,4681649
6009620,1987,4704791
6009620,1988,4791248
6009620,1988,4792646
6009620,1990,4967314
6009620,1991,4983252
6009620,1991,5006182
6009620,1991,5028743
6009620,1992,5117069
6009620,1992,5118458
6009620,1992,5146674
6009620,1992,5153986
6009620,1993,5224265
6009620,1993,5243142
6009620,1993,5271150
6009620,1994,5288665
6009620,1994,5346750
6009620,1995,5421083
6009620,1995,5443672
6009620,1995,5450290
6009620,1995,5451722
6009620,1996,5487218
6009620,1996,5557844
6009620,1996,5568682
6009620,1996,5571593
6009620,1997,5662987
6009620,1997,5665650
6009620,1997,5666722
6009620,1997,5685070
6009620,1997,5689091
6009620,1998,5740606
6009620,1998,5745984
6009620,1998,5779836
6009620,1998,5822856
6009621,1979,4152826
6009622,1976,3950898
6009622,1980,4198745
6009622,1987,4712300
6009622,1990,4974319
6009623,1975,3879844
6009623,1983,4380121
6009623,1992,5111580
6009623,1992,5146680
6009623,1992,5165170
6009623,1994,5347715
6009623,1996,5500635
6009623,1997,5600888
6009623,1997,5671535
6009623,1998,5789844
6009624,1981,4270268
6009624,1983,4378633
6009624,1983,4378634
6009624,1984,4442598
6009624,1984,4488357
6009624,1985,4492024
6009624,1985,4492025
6009624,1985,4498235
6009624,1985,4551916
6009624,1986,4573266
6009624,1986,4621424
6009624,1991,5063667
6009624,1995,5402574
6009624,1995,5416974
6009624,1998,5761814
6009624,1998,5787586
6009625,1977,4010543
6009625,1981,4277891
6009625,1995,5461788
6009625,1996,5579582
6009625,1998,5720991
6009626,1981,4268927
6009626,1988,4721903
6009626,1997,5662686
6009627,1977,4020555
6009627,1978,4106181
6009627,1981,4294013
6009627,1984,4441255
6009627,1984,4470196
6009627,1985,4528753
6009627,1986,4594781
6009627,1986,4601477
6009627,1987,4648182
6009627,1992,5103565
6009627,1992,5165173
6009627,1993,5263972
6009627,1994,5306025
6009627,1994,5322302
6009627,1994,5324052
6009627,1995,5443276
6009627,1995,5458346
6009627,1996,5487221
6009627,1996,5573255
6009627,1996,5575071
6009628,1978,4081911
6009628,1980,4237611
6009628,1987,4656478
6009628,1989,4835875
6009628,1989,4845853
6009628,1989,4890269
6009628,1990,4922619
6009628,1990,4924592
6009628,1990,4945644
6009628,1991,5062212
6009628,1993,5197199
6009628,1995,5425178
6009628,1997,5596553
6009629,1987,4698912
6009629,1988,4733179
6009629,1989,4807462
6009629,1989,4866627
6009629,1993,5187872
6009629,1994,5349529
6009630,1977,4043679
6009630,1980,4221483
6009630,1989,4852265
6009630,1990,4912851
6009630,1991,5075977
6009630,1993,5184406
6009630,1996,5519942
6009630,1996,5524352
6009630,1996,5531031
6009630,1997,5594993
6009630,1998,5782003
6009631,1990,4914821
6009631,1991,5067246
6009631,1992,5174030
6009632,1987,4637403
6009632,1989,4802284
6009632,1989,4882846
6009632,1991,4994167
6009632,1991,5037614
6009632,1991,5053199
6009632,1993,5199182
6009632,1994,5279294
6009632,1994,5281395
6009632,1994,5304468
6009632,1995,5424035
6009632,1996,5515170
6009632,1996,5522255
6009632,1996,5580794
6009632,1998,5763262
6009632,1998,5795543
6009632,1998,5829124
6009632,1999,5872713
6009632,1999,5912134
6009633,1981,4265021
6009633,1981,4291465
6009634,1984,4461095
6009634,1991,5071513
6009634,1997,5594997
6009634,1998,5778555
6009634,1999,5867919
6009635,1986,4616989
6009635,1992,5158588
6009635,1994,5300176
6009635,1994,5340512
6009635,1996,5534047
6009636,1986,4566206
6009636,1986,4592153
6009636,1991,5060401
6009636,1992,5138776
6009636,1998,5706589
6009636,1998,5826350
6009637,1980,4183156
6009637,1987,4670995
6009637,1989,4887367
6009637,1990,4936029
6009637,1991,5025575
6009637,1993,5199191
6009637,1994,5287638
6009637,1994,5313717
6009637,1994,5363570
6009637,1995,5425184
6009637,1998,5771606
6009638,1977,4051611
6009638,1978,4126323
6009638,1979,4160332
6009638,1981,4268981
6009638,1982,4326320
6009638,1983,4387517
6009638,1983,4395801
6009638,1985,4547980
6009638,1987,4649657
6009638,1987,4670946
6009638,1987,4683620
6009638,1988,4727627
6009638,1988,4761898
6009638,1989,4796337
6009638,1992,5172454
6009638,1995,5416952
6009638,1996,5495683
6009638,1996,5498033
6009638,1996,5530997
6009638,1997,5611155
6009638,1997,5678833
6009638,1998,5745959
6009638,1998,5779259
6009638,1998,5802741
6009639,1976,3969833
6009639,1983,4391049
6009639,1993,5175948
6009639,1996,5499461
6009639,1996,5519951
6009639,1996,5575091
6009639,1997,5647150
6009639,1999,5901470
6009639,1999,5903984
6009640,1975,3859739
6009640,1975,3890725
6009640,1975,3898751
6009640,1977,4014114
6009640,1979,4141158
6009640,1980,4180923
6009640,1980,4205466
6009640,1980,4233759
6009640,1982,4309376
6009640,1982,4330950
6009640,1983,4366632
6009640,1983,4392312
6009640,1985,4492047
6009640,1985,4521979
6009640,1985,4527345
6009640,1986,4571852
6009640,1986,4587748
6009640,1987,4633600
6009640,1987,4689901
6009640,1988,4723366
6009640,1988,4727661
6009640,1988,4777738
6009640,1988,4782604
6009640,1989,4833796
6009640,1989,4837949
6009640,1989,4885851
6009640,1991,5033211
6009640,1991,5070631
6009640,1993,5259129
6009640,1994,5367793
6009641,1990,4922631
6009642,1978,4074448
6009642,1980,4187624
6009642,1985,4549365
6009642,1987,4665636
6009642,1987,4680880
6009642,1990,4962598
6009642,1991,5046271
6009642,1992,5114120
6009642,1992,5123186
6009642,1993,5207010
6009642,1993,5209003
6009642,1995,5398431
6009642,1996,5479730
6009642,1996,5513453
6009642,1997,5666747
6009643,1985,4541161
6009643,1991,5007882
6009643,1991,5040851
6009643,1998,5711095
6009643,1998,5836411
6009644,1995,5410826
6009644,1995,5438774
6009644,1995,5452529
6009644,1995,5465512
6009644,1996,5564206
6009644,1998,5784813
6009646,1975,3918358
6009646,1978,4120238
6009646,1979,4155296
6009646,1979,4164176
6009646,1979,4167902
6009646,1979,4178845
6009646,1980,4228733
6009646,1984,4459904
6009646,1986,4572554
6009646,1986,4577554
6009646,1989,4817519
6009646,1989,4830065
6009646,1994,5279336
6009646,1995,5433255
6009646,1995,5467804
6009647,1979,4166401
6009647,1980,4204436
6009647,1992,5134795
6009648,1978,4075591
6009648,1980,4201965
6009648,1986,4577427
6009648,1996,5521573
6009648,1997,5600908
6009648,1997,5627563
6009648,1998,5809675
6009649,1994,5287255
6009649,1996,5493480
6009649,1997,5642931
6009650,1978,4096551
6009650,1978,4112482
6009650,1980,4217714
6009650,1985,4559518
6009650,1989,4816804
6009650,1989,4841288
6009650,1990,4891896
6009650,1991,5036307
6009650,1992,5132662
6009650,1992,5134794
6009650,1992,5166663
6009650,1993,5233773
6009650,1994,5276424
6009650,1994,5299109
6009650,1994,5303124
6009650,1994,5345705
6009650,1994,5357239
6009650,1995,5406250
6009650,1996,5566484
6009651,1982,4329800
6009651,1997,5664749
6009651,1997,5701695
6009651,1999,5906064
6009652,1978,4103445
6009652,1989,4817319
6009652,1990,4916840
6009653,1987,4644630
6009653,1995,5452889
6009653,1996,5487203
6009654,1975,3896929
6009654,1977,4043754
6009654,1978,4119199
6009654,1979,4155608
6009654,1981,4299045
6009654,1984,4446900
6009654,1988,4721205
6009654,1989,4870771
6009654,1990,4912867
6009654,1990,4916842
6009654,1990,4934083
6009654,1990,4936038
6009654,1991,5012605
6009654,1991,5048682
6009654,1992,5138786
6009654,1992,5168994
6009654,1992,5172575
6009654,1993,5236086
6009654,1994,5313733
6009654,1995,5419068
6009654,1995,5437119
6009654,1995,5437366
6009654,1995,5450684
6009654,1995,5458266
6009654,1997,5621996
6009654,1998,5720193
6009655,1998,5784820
6009656,1981,4251939
6009656,1987,4660317
6009656,1988,4779371
6009656,1990,4916847
6009656,1990,4951411
6009656,1991,5056255
6009656,1992,5119580
6009656,1995,5437121
6009656,1995,5461817
6009656,1996,5540010
6009657,1976,3958357
6009657,1981,4251547
6009657,1982,4362748
6009657,1988,4752480
6009657,1990,4950488
6009657,1991,5062235
6009657,1993,5197219
6009657,1993,5216829
6009658,1976,3940869
6009658,1976,3964203
6009658,1976,3967406
6009658,1976,3986291
6009658,1977,4033063
6009658,1979,4177597
6009658,1980,4236342
6009658,1981,4307531
6009658,1982,4312148
6009658,1984,4429482
6009658,1985,4530179
6009658,1987,4709501
6009658,1988,4771568
6009658,1990,4967505
6009658,1991,4993183
6009658,1992,5117573
6009658,1992,5134801
6009658,1993,5228230
6009658,1996,5491927
6009658,1996,5524377
6009658,1997,5630289
6009658,1997,5640798
6009658,1998,5787634
6009658,1999,5862623
6009659,1984,4458439
6009659,1998,5784829
6009659,1998,5852894
6009660,1980,4238901
6009660,1987,4680886
6009660,1988,4742640
6009660,1993,5182878
6009660,1995,5410836
6009661,1979,4158929
6009661,1982,4310984
6009661,1983,4413439
6009661,1984,4449316
6009661,1984,4468883
6009661,1986,4569149
6009661,1988,4763439
6009661,1989,4831766
6009661,1994,5345710
6009661,1996,5497576
6009662,1978,4074456
6009662,1979,4144668
6009662,1987,4709502
6009662,1988,4780985
6009662,1990,4914854
6009662,1996,5570537
6009662,1997,5632115
6009663,1980,4232481
6009663,1981,4297810
6009663,1982,4345856
6009663,1983,4414776
6009663,1986,4584790
6009663,1991,5010685
6009663,1991,5022182
6009663,1991,5043007
6009663,1991,5047078
6009663,1992,5125770
6009663,1993,5207826
6009663,1993,5235781
6009663,1994,5274951
6009663,1994,5317834
6009663,1996,5516830
6009664,1975,3869828
6009664,1975,3888443
6009664,1976,3962503
6009664,1977,4043077
6009664,1977,4054697
6009664,1978,4091925
6009664,1978,4113100
6009664,1978,4118890
6009664,1980,4189868
6009664,1980,4216620
6009664,1981,4248347
6009664,1981,4280314
6009664,1981,4297811
6009664,1982,4333267
6009664,1982,4347686
6009664,1983,4380564
6009664,1983,4400910
6009664,1983,4413725
6009664,1985,4546875
6009664,1986,4621733
6009664,1987,4640079
6009664,1988,4717262
6009664,1988,4733521
6009664,1988,4765464
6009664,1988,4771573
